date,x_m
1995-09-30T00:00:00Z,8782
1995-12-31T00:00:00Z,9843
1996-03-31T00:00:00Z,9110
1996-06-30T00:00:00Z,9095
1996-09-30T00:00:00Z,9015
1996-12-31T00:00:00Z,10092
1997-03-31T00:00:00Z,8913
1997-06-30T00:00:00Z,9048
1997-09-30T00:00:00Z,8964
1997-12-31T00:00:00Z,10092
1998-03-31T00:00:00Z,9028
1998-06-30T00:00:00Z,8913
1998-09-30T00:00:00Z,8899
1998-12-31T00:00:00Z,10217
1999-03-31T00:00:00Z,9274
1999-06-30T00:00:00Z,9343
1999-09-30T00:00:00Z,9544
1999-12-31T00:00:00Z,10936
2000-03-31T00:00:00Z,9914
2000-06-30T00:00:00Z,9797
2000-09-30T00:00:00Z,10005
2000-12-31T00:00:00Z,11515
2001-03-31T00:00:00Z,10368
2001-06-30T00:00:00Z,10491
2001-09-30T00:00:00Z,10577
2001-12-31T00:00:00Z,12208
2002-03-31T00:00:00Z,11183
2002-06-30T00:00:00Z,11359
2002-09-30T00:00:00Z,11504
2002-12-31T00:00:00Z,13032
2003-03-31T00:00:00Z,11782
2003-06-30T00:00:00Z,11688
2003-09-30T00:00:00Z,11937
2003-12-31T00:00:00Z,13772
2004-03-31T00:00:00Z,12825
2004-06-30T00:00:00Z,12728
2004-09-30T00:00:00Z,13171
2004-12-31T00:00:00Z,14988
2005-03-31T00:00:00Z,13866
2005-06-30T00:00:00Z,13609
2005-09-30T00:00:00Z,14082
2005-12-31T00:00:00Z,15618
2006-03-31T00:00:00Z,14705
2006-06-30T00:00:00Z,14427
2006-09-30T00:00:00Z,14724
2006-12-31T00:00:00Z,16824
2007-03-31T00:00:00Z,15926
2007-06-30T00:00:00Z,15524
2007-09-30T00:00:00Z,15500
2007-12-31T00:00:00Z,17479
2008-03-31T00:00:00Z,16279
2008-06-30T00:00:00Z,15500
2008-09-30T00:00:00Z,15633
2008-12-31T00:00:00Z,17181
2009-03-31T00:00:00Z,15375
2009-06-30T00:00:00Z,15261
2009-09-30T00:00:00Z,15620
2009-12-31T00:00:00Z,17657
2010-03-31T00:00:00Z,16267
2010-06-30T00:00:00Z,16016
2010-09-30T00:00:00Z,16148
2010-12-31T00:00:00Z,17913
2011-03-31T00:00:00Z,16768
2011-06-30T00:00:00Z,16619
2011-09-30T00:00:00Z,16946
2011-12-31T00:00:00Z,19135
2012-03-31T00:00:00Z,17638
2012-06-30T00:00:00Z,17406
2012-09-30T00:00:00Z,17301
2012-12-31T00:00:00Z,19669
2013-03-31T00:00:00Z,18211
2013-06-30T00:00:00Z,17977
2013-09-30T00:00:00Z,18096
2013-12-31T00:00:00Z,20460
2014-03-31T00:00:00Z,18833
2014-06-30T00:00:00Z,18671
2014-09-30T00:00:00Z,18845
2014-12-31T00:00:00Z,21444
2015-03-31T00:00:00Z,19798
2015-06-30T00:00:00Z,19446
2015-09-30T00:00:00Z,19743
2015-12-31T00:00:00Z,22412
2016-03-31T00:00:00Z,20784
2016-06-30T00:00:00Z,20576
2016-09-30T00:00:00Z,20711
2016-12-31T00:00:00Z,23678
2017-03-31T00:00:00Z,22369
2017-06-30T00:00:00Z,22082
2017-09-30T00:00:00Z,21945
2017-12-31T00:00:00Z,25175
2018-03-31T00:00:00Z,23126
2018-06-30T00:00:00Z,22916
2018-09-30T00:00:00Z,22815
2018-12-31T00:00:00Z,26313
2019-03-31T00:00:00Z,23975
2019-06-30T00:00:00Z,23698
2019-09-30T00:00:00Z,23776
2019-12-31T00:00:00Z,27198
2020-03-31T00:00:00Z,24794
2020-06-30T00:00:00Z,20052
2020-09-30T00:00:00Z,25545
2020-12-31T00:00:00Z,28505
2021-03-31T00:00:00Z,26321
2021-06-30T00:00:00Z,27482
