Year,Odometer,Style,Price,Website
13,67.67,S,13.95,Honda
14,64.2,S,15.9,Honda
14,43.2,S,16.95,Honda
15,62.7,S,16.95,Honda
15,65.3,RS,16.95,Honda
17,62,RS,17.95,Honda
17,51.5,S,17.99,Honda
14,57.9,RS,17.99,Honda
15,59.1,RS,18.49,Honda
15,62.6,RS,18.95,Honda
18,63.5,S,18.95,Honda
17,85.1,RS,18.95,Honda
15,51.6,RS,18.95,Honda
14,27.8,RS,18.95,Honda
17,33.7,S,18.95,Honda
17,45.3,S,18.99,Honda
14,20.5,RS,18.99,Honda
18,24,S,19.49,Honda
15,38.3,RS,19.9,Honda
15,56.5,RS,19.9,Honda
16,47.9,RS,19.9,Honda
18,26.7,S,19.95,Honda
18,31.1,S,19.95,Honda
18,31.3,S,19.95,Honda
18,25.5,S,19.95,Honda
17,61.6,RS,19.99,Honda
17,59.8,RS,19.99,Honda
16,42.2,RS,19.99,Honda
15,39.3,RS,19.99,Honda
16,31.5,RS,19.99,Honda
15,71.3,RS,20.95,Honda
19,23.7,S,20.99,Honda
19,16.7,S,20.99,Honda
14,28.5,S,11.99,Autotrader
12,43.4,S,12,Autotrader
17,33.7,S,18.95,Autotrader
20,8,RS,26.96,Autotrader
15,53.6,RS,19,Autotrader
15,70.8,RS,17,Autotrader
16,22.5,RS,18.99,Autotrader
18,31.3,S,19.95,Autotrader
16,55.8,RS,17.49,Autotrader
18,25.5,RS,22.95,Autotrader
18,25.5,S,19.95,Autotrader
19,22,RS,22.99,Autotrader
18,31.1,S,19.95,Autotrader
15,23.4,RS,21.5,Autotrader
15,51.1,RS,18.95,Autotrader
19,7.8,RS,24.99,Autotrader
11,79.3,S,9.95,Autotrader
12,137,RS,10.99,Autotrader
13,34.5,S,13.99,Autotrader
19,14.5,RS,25.96,Autotrader
20,10.1,RS,26.95,Autotrader
18,34.9,RS,22.95,Autotrader
12,63.6,S,13.5,Autotrader
19,13.7,RS,25.95,Autotrader
15,43.3,S,14.28,Autotrader
18,63.5,S,18.95,Autotrader
18,14.7,RS,23.92,Autotrader
19,56,RS,20.8,Autotrader
14,61.5,S,16.99,Autotrader
18,17.1,RS,23.95,Autotrader
14,63.5,RS,18,Autotrader
19,24.6,RS,24.95,Autotrader
14,32.3,S,14,Autotrader
19,12.6,RS,25.95,Autotrader
16,79.3,RS,15,Trademe
14,40,S,13,Trademe
14,20,S,16.99,Trademe
15,23.4,RS,21.49,Trademe
18,9.7,RS,24.95,Trademe
18,18.7,RS,24.95,Trademe
17,59.7,S,13.95,Trademe
17,49.3,S,14.95,Trademe
14,33.9,RS,16.5,Trademe
18,12.3,RS,24.9,Trademe
17,28.4,RS,22.95,Trademe
19,22.1,S,21.99,Trademe
17,30.9,RS,22.95,Trademe
16,47.9,RS,19.9,Trademe
19,5.9,RS,23.95,Trademe
19,12.4,RS,25.95,Trademe
12,43.4,S,12,Trademe
15,62.67,S,16.95,Trademe
16,99.5,RS,14.5,Trademe
17,33.7,S,18.95,Trademe
20,8,RS,26.95,Trademe
16,33.5,S,15.5,Trademe
12,47,S,12.5,Trademe
19,6.7,RS,25.95,Trademe
15,71.3,RS,20.95,Trademe
18,31.3,S,19.95,Trademe
18,25.5,RS,22.95,Trademe
15,72.8,RS,15.95,Trademe
18,25.5,S,19.95,Trademe
18,51.6,S,18.25,Trademe
18,31.1,S,19.95,Trademe
15,51.1,RS,18.95,Trademe
19,20.6,RS,25.95,Trademe
14,43.5,S,16.95,Trademe
19,14.5,RS,25.95,Trademe
20,10.1,RS,26.95,Trademe
18,63.5,S,18.95,Trademe
17,28.8,RS,23.95,Trademe
14,31.5,S,14.9,Trademe
